"변환","USA","China","Japan"
20240313,1311.1,182.63,888.55
20240314,1312.8,182.53,889.1
20240315,1316.9,183.04,888.12
20240318,1328.4,184.32,891.51
20240319,1333,185.03,894.24
20240320,1338.5,185.64,886.81
20240321,1338.7,185.62,887.17
20240322,1326.3,184.04,874.49
20240325,1336.1,184.49,883.87
20240326,1340.7,184.88,885.56
20240327,1338.6,184.86,883.24
20240328,1345.8,185.57,889.17
20240329,1346.8,185.75,889.48
20240401,1347.4,185.63,890.11
20240402,1347.1,185.68,888.32
20240403,1353,186.13,892.69
20240404,1349.1,185.92,889.88
20240405,1346.8,185.88,890.53
20240408,1351.8,186.6,891.37
20240409,1353.6,186.63,891.49
20240411,1354.4,187.01,885.55
20240412,1363.7,188.03,890.06
20240415,1371.6,189.14,894.8
20240416,1383.7,190.58,897.43
20240417,1395.3,191.99,901.91
20240418,1386.3,190.83,898.36
20240419,1375.9,189.71,889.77
20240422,1385,191,895.89
20240423,1380.6,190.53,891.89
20240424,1377.9,189.9,890.26
20240425,1370,188.67,882.48
20240426,1376.6,189.51,884.79
20240429,1375.9,189.54,869.12
20240430,1378.7,190.05,882.68
20240502,1378,189.92,886.17
20240503,1378.5,190.31,899.92
20240507,1365.2,189.55,885.83
20240508,1357.8,188.13,877.44
20240509,1364.4,188.74,877.12
20240510,1367.9,189.2,880.53
20240513,1367.9,189.27,878.01
20240514,1370.1,189.21,876.95
20240516,1369,189.08,885.37
20240517,1349.4,186.89,868.37
20240520,1355.2,187.54,870.25
20240521,1356.2,187.49,867.83
20240522,1364.4,188.36,873.24
20240523,1363.1,188.01,869.63
20240524,1364.5,187.91,869.14
20240527,1370,188.82,873.42
20240528,1365.4,188.15,870.1
20240529,1359.5,187.21,864.71
20240530,1364.8,187.77,865.63
20240531,1376.5,189.18,877.84
20240603,1381.6,190.48,878.41
20240604,1377.6,189.58,882.03
